extId,setSize,half,wmc
NA1579,6,1,0.208333333
NA1579,6,2,0.208333333
NA1874,3,1,1
NA1874,3,2,1
NA1874,6,1,0.833333333
NA1874,6,2,0.916666667
NA2314,3,1,0.833333333
NA2314,3,2,1
NA2314,6,1,1
NA2314,6,2,0.916666667
NA2786,3,1,1
NA2786,3,2,0.833333333
NA2786,6,1,0.875
NA2786,6,2,0.625
NE0118,3,1,1
NE0118,3,2,0.916666667
NE0118,6,1,0.708333333
NE0118,6,2,0.833333333
NE0792,3,1,1
NE0792,3,2,1
NE0792,6,1,1
NE0792,6,2,1
NE3022,3,1,1
NE3022,3,2,0.833333333
NE3022,6,1,1
NE3022,6,2,1
NG1142,3,1,0.666666667
NG1142,3,2,1
NG1142,6,1,1
NG1142,6,2,1
NG1428,3,1,1
NG1428,3,2,1
NG1428,6,1,1
NG1428,6,2,0.958333333
NG1897,3,1,0.75
NG1897,3,2,1
NG1897,6,1,0.541666667
NG1897,6,2,0.75
NG2907,3,1,1
NG2907,3,2,1
NG2907,6,1,1
NG2907,6,2,0.875
NI0288,3,1,1
NI0288,3,2,1
NI0288,6,1,0.666666667
NI0288,6,2,0.875
NI0447,3,1,0.75
NI0447,3,2,1
NI0447,6,1,0.916666667
NI0447,6,2,0.791666667
NI1880,3,1,1
NI1880,3,2,1
NI1880,6,1,0.875
NI1880,6,2,0.875
NI2038,3,1,0.916666667
NI2038,3,2,1
NI2038,6,1,1
NI2038,6,2,1
NI2511,3,1,0.666666667
NI2511,3,2,0.833333333
NI2511,6,1,0.708333333
NI2511,6,2,0.75
NI2709,3,1,0.916666667
NI2709,3,2,1
NI2709,6,1,0.791666667
NI2709,6,2,0.625
NI2961,3,1,0.416666667
NI2961,3,2,0.75
NI2961,6,1,0.25
NI2961,6,2,0.333333333
NO2986,3,1,0.916666667
NO2986,3,2,0.583333333
NO2986,6,1,0.791666667
NO2986,6,2,1
NU3009,3,1,1
NU3009,3,2,1
NU3009,6,1,0.791666667
NU3009,6,2,0.583333333
NY1117,3,1,1
NY1117,3,2,0.75
NY1117,6,1,0.625
NY1117,6,2,0.208333333
OM2797,3,1,1
OM2797,3,2,0.75
OM2797,6,1,0.541666667
OM2797,6,2,0.333333333
OR0339,3,1,0.5
OR0339,3,2,0.333333333
OR0339,6,1,0.25
OR0339,6,2,0.208333333
OR0919,3,1,1
OR0919,3,2,1
OR0919,6,1,1
OR0919,6,2,0.958333333
OR2427,3,1,0.916666667
OR2427,3,2,1
OR2427,6,1,0.75
OR2427,6,2,0.791666667
OT0758,3,1,1
OT0758,3,2,1
OT0758,6,1,0.666666667
OT0758,6,2,1
QI2574,3,1,1
QI2574,3,2,1
QI2574,6,1,0.875
QI2574,6,2,1
RA1335,3,1,1
RA1335,3,2,1
RA1335,6,1,0.875
RA1335,6,2,0.708333333
RA1607,3,1,1
RA1607,3,2,1
RA1607,6,1,1
