"extId","generalSophistication","WMC3","WMC6","MDT.ability","MDT.ability_sem","BAT.ability","BAT.ability_sem","Age","BioSex","Education","Education_Year","Ethnicity","Musicianship","processing","LAQ_music"
"ER1830",72,0.9583333335,0.875,-1.820901625,0.609785234,-0.881119218,1.014395546,18,"Female","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",14,"White",2,0.986111111111111,1
"ER3038",98,1,1,1.5868756,0.501051891,0.556136676,0.578290849,21,"Male","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",15,"White",1,0.972222222222222,6
"ES0908",97,1,1,1.930933985,0.585001076,0.810316045,0.576395441,31,"Male","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",19,"White",1,0.986111111111111,3
"ES1009",77,1,0.9791666665,-0.84681824,0.642500746,-0.773406357,0.653760168,23,"Male","Diploma of higher education (DipHE); Foundation degree; Level 5 award, certificate, diploma, or NVQ",3,"Asian / Asian British",2,0.986111111111111,1
"ES1102",80,1,0.9791666665,1.559053276,0.530389615,1.149143815,0.582348434,19,"Male","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",15,"Mixed / Multiple Ethnic Groups",1,1,5
"ES1586",62,0.833333333,0.8333333335,-1.022803099,0.523594509,0.111130937,0.614787441,18,"Male","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",13,"White",2,0.916666666666667,1
"ET0193",83,1,1,-0.505094646,0.518988812,0.023718563,0.584451435,29,"Male","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",22,"Prefer not to answer",1,1,2
"ET0355",49,0.7916666665,0.7291666665,-0.096967053,0.480368296,-1.224012034,0.715187149,27,"Male","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",20,"White",2,0.944444444444444,1
"EW1371",57,1,0.8333333335,-0.334458674,0.511823822,-3.469074995,2.527830369,27,"Male","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",16,"Asian / Asian British",2,1,1
"EW1418",55,0.875,0.9375,-0.601911044,0.476267812,0.450498403,0.590195099,20,"Male","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",16,"White",2,1,1
"EW2240",69,0.9583333335,0.7291666665,-0.446912756,0.510702693,-0.053712707,0.666118363,19,"Male","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",14,"White",2,0.902777777777778,2
"EY1994",67,1,0.770833333,0.665710276,0.490713342,0.034660344,0.614725043,22,"Female","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",18,"Black / African / Caribbean / Black British",2,0.972222222222222,1
"FA3189",65,0.875,0.6458333335,-0.701374575,0.490020807,0.53846195,0.613150454,24,"Male","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",16,"White",2,0.944444444444444,1
"HA0458",63,0.4583333335,0.25,-0.860434666,0.487001412,-0.979055654,0.644177916,26,"Female","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",17,"Asian / Asian British",2,0.944444444444444,1
"HA0538",39,1,0.5416666665,0.178356676,0.481289465,0.600645146,0.584626234,21,"Female","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",13,"White",2,0.958333333333333,1
"HA1083",91,1,0.9583333335,-0.438812085,0.558965143,-1.969233364,0.982691654,30,"Female","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",12,"Prefer not to answer",2,0.958333333333333,1
"HA2096",64,1,0.7708333335,-1.222188139,0.559224415,0.366886011,0.584255054,30,"Female","Prefer not to answer",16,"Other",2,0.916666666666667,1
"HA2167",80,0.7083333335,0.2708333335,0.450837491,0.498800283,0.258691063,0.587391525,22,"Female","Diploma of higher education (DipHE); Foundation degree; Level 5 award, certificate, diploma, or NVQ",15,"Asian / Asian British",2,0.972222222222222,4
"HI1771",75,1,0.9791666665,0.376577233,0.505166887,-0.755295142,0.737859589,23,"Female","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",19,"Asian / Asian British",2,0.986111111111111,1
"HI1974",54,0.375,0.1666666665,-0.448946774,0.511793475,0.853404772,0.58467972,31,"Male","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",24,"White",2,0.916666666666667,1
"HI2240",87,0.9583333335,0.8958333335,0.152997919,0.478050072,-1.189116245,0.647964676,31,"Female","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",18,"Asian / Asian British",2,0.986111111111111,1
"HI2999",61,1,1,-0.701113245,0.491165533,-0.319440207,0.611114262,25,"Female","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",17,"Asian / Asian British",2,1,1
